№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
1217,医療法人貴和会生野中央病院,544-0005,生野区中川５―４―２,,6751-3731,生野区,,,,,,,○,,,,,○,○,,135.5460943,34.65816457
1218,医療法人　山室会　西川診療所,544-0005,生野区中川２―９―３２,,6751-4102,生野区,,,,,,,,,,,,○,○,,135.5425995,34.66068096
1219,医療法人木佐貫整形外科,544-0005,生野区中川４―２―２１,,6751-4322,生野区,,,,,,,,,,,,○,○,,135.5418011,34.65779354
1220,社会福祉法人弘仁会中川診療所,544-0005,生野区中川１―６―２０,,6755-6700,生野区,,,,,,,,,,,,○,,,135.5422883,34.66236097
1221,今里ハ－トクリニック,544-0005,生野区中川１－１－１４,,6752-0110,生野区,,,,,,,,,,,,○,,,135.5424891,34.66425687
1222,医療法人味木会　味木クリニック,544-0005,生野区中川６－９－２３,,6753-1523,生野区,,,,,,,,,,,,○,○,,135.5413291,34.65415711
1223,医療法人貴和会介護老人保健施設ケアホームフォーシーズン,544-0005,生野区中川５―４―２,,6755-1000,生野区,,,,,,,,,,,,○,○,,135.5460943,34.65816457
1224,社会福祉法人弘仁会特別養護老人ホームレインボー今里,544-0005,生野区中川１―６―２０,,6755-6700,生野区,,,,,,,,,,,,○,,,135.5422883,34.66236097
1225,浦岡小児科,544-0006,生野区中川東２―１３―１７,,6754-0511,生野区,○,,○,○,○,○,○,○,○,○,○,○,○,○,135.5501334,34.65709546
1226,宗元整形外科,544-0006,生野区中川東２―１８―２０,,6757-7077,生野区,,,,,,,,,,,,○,,,135.5518655,34.65669898
1227,医療法人　長田診療所,544-0011,生野区田島４―６―１８,,6754-1473,生野区,,,○,○,○,○,○,○,○,○,,○,○,,135.541509,34.64568101
1228,医療法人呉診療所,544-0011,生野区田島１―１２―１４,,6754-0611,生野区,,,,,,,○,,,,○,○,○,,135.5434077,34.6510761
1229,医療法人穂翔会　村田病院,544-0011,生野区田島４―２―１,,6757-0011,生野区,,,,,,,,,,,,○,○,,135.5399843,34.64726193
1230,医療法人豊旺会　啓生病院,544-0011,生野区田島６―４―１,,6758-3301,生野区,,,,,,,,,,,,○,○,,135.5400336,34.64246126
1231,ひらたクリニック,544-0011,生野区田島２―２―２５,,6758-5151,生野区,,,○,○,,○,○,○,○,○,○,○,○,,135.5403254,34.64933149
1232,医療法人のぞみ会　新大阪病院,544-0011,生野区田島１―１６―６,,6758-1631,生野区,,,,,,,○,○,,,,○,○,,135.5437234,34.65324176
1233,医療法人康耳鼻咽喉科,544-0011,生野区田島５－６－１５,,6751-4000,生野区,,,,,,,,,,,○,○,○,,135.5406206,34.64322765
1234,医療法人幸人会　田島クリニック,544-0011,生野区田島５ー５－３１,,6758-9910,生野区,,○,○,○,○,○,○,○,○,○,○,○,○,,135.5395878,34.64398695
1235,松岡クリニック,544-0012,生野区巽西１―２―１２,,6758-3347,生野区,,,○,○,○,○,○,○,○,,○,○,○,,135.5452982,34.65236416
1236,医療法人育和会育和会介護老人保健施設ひまわり,544-0012,生野区巽西２―９―３１,,6751-7290,生野区,,,,,,,,,,,,○,,,135.5470524,34.64960853
1237,医療法人　中村クリニック,544-0013,生野区巽中２―２２―１３,,6752-3100,生野区,,,,,,,,,,○,○,○,○,,135.5538763,34.6487447
1238,清水整形外科,544-0013,生野区巽中４―１１―６,フルラ―レ１階,6752-3800,生野区,,,,,,,,,,,,○,,,135.5509745,34.64298576
1239,文クリニック,544-0013,生野区巽中４―１９―１０,,6755-3880,生野区,,,,,,,,,,,,○,○,,135.5530279,34.64282145
1240,宮永クリニック,544-0013,生野区巽中４―１９―１０,,6755-3877,生野区,,,,,,,,,,,○,○,○,,135.5530279,34.64282145
1241,医療法人　大江内科,544-0013,生野区巽中１―２１―１８,,6758-2085,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5534167,34.65087919
1242,医療法人社団禮聖会　りょうクリニック,544-0013,生野区巽中１―２３―６,シェルブラン１階,6753-3577,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5542733,34.65195978
1243,ほしの耳鼻咽喉科,544-0013,生野区巽中４―１９―１０,４Ｆ,6754-6610,生野区,,,,,,,,,,,,○,,,135.5530279,34.64282145
1244,井上医院,544-0013,生野区巽中３―２０―１８,,6758-2851,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5533681,34.64530483
1245,医療法人和佑会西村クリニック,544-0013,生野区巽中１―２０―４,,6758-0408,生野区,,,,,,,,,,,,○,○,,135.552677,34.65184307
1246,医療法人　大江整形外科,544-0013,生野区巽中１－２１－１８,１階,6758-5550,生野区,,,,,,,,,,,,○,○,,135.5534167,34.65087919
1247,医療法人憲樹　橋本クリニック　みみはなのど,544-0013,生野区巽中２－２５－２８,,6755-1533,生野区,,,,,,,,,,,,○,,,135.5535477,34.6507043
1248,医療法人にんクリニック,544-0013,生野区巽中１－２１－３２,,6756-8806,生野区,,,,,,,,,,,,○,○,,135.5524088,34.65103467
1249,医療法人同友会老人保健施設ハーモニー共和,544-0013,生野区巽中１―２０―１４,,6755-0001,生野区,,,,,,,,,,,,○,,,135.5535296,34.65189705
1250,特別養護老人ホーム　巽さくらら苑,544-0013,生野区巽中１―５―８,,6753-1147,生野区,,,,,,,,,,,,○,,,135.5499629,34.65176871
1251,特別養護老人ホーム　瑞光苑診療所,544-0014,生野区巽東４―１１―１０,,6758-0088,生野区,,,,,,,,,,,,○,○,,135.55777,34.64584318
1252,伊達医院,544-0014,生野区巽東２―９―１,,6758-3501,生野区,,,○,○,,○,○,○,○,,,○,○,,135.554145,34.6462151
1253,医療法人　仁神会　井神クリニック,544-0014,生野区巽東２―５―３１,,6757-1346,生野区,,,,,,,,,,,,○,○,,135.5556411,34.64718744
1254,医療法人さつき会　きららこどもクリニック,544-0014,生野区巽東１－２－１４,ウイングヒルズ１０２号,6757-1919,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.555758,34.65209479
1255,やすなりみどり診療所,544-0015,生野区巽南３―７―８,,6758-5511,生野区,○,○,○,○,○,○,○,○,○,○,,○,○,,135.5504969,34.64253493
1256,社会福祉法人三秀會　甍診療所,544-0015,生野区巽南３－７－３０,,6752-1339,生野区,,,,,,,,,,,,○,○,,135.5496235,34.64217082
1257,社会福祉法人藤光会　金の鈴診療所,544-0015,生野区巽南３－５－２５,,6758-8111,生野区,,,,,,,,,,,,○,,,135.5500299,34.64091147
1258,医療法人金沢クリニック,544-0015,生野区巽南１―１２―５,アイビーフラット１階,4306-1110,生野区,,,,,,,,,,,,○,,,135.5469723,34.64250583
1259,東田クリニック,544-0015,生野区巽南５―２―４１,,6792-3033,生野区,,,○,○,○,○,○,○,,○,○,○,○,,135.552938,34.63939493
1260,医療法人社団　日翔会　生野愛和病院,544-0015,生野区巽南５－７－６４,,6791-7800,生野区,,,,,,,,,,,,○,○,,135.5499615,34.63601611
1261,医療法人弘善会　弘善会クリニック,544-0015,生野区巽南３－１６－２,,6756-8687,生野区,,,,,○,,,,,,○,○,○,,135.5536331,34.64257716
1262,医療法人ナチュラル内科クリニック　ナチュラルクリニック,544-0015,生野区巽南３－１５－１２,１Ｆ,4307-5831,生野区,,,,,,,,,,,,○,○,,135.5527119,34.64215007
1263,社福）三秀会　特別養護老人ホーム　甍,544-0015,生野区巽南３―７―３０,,6752-1339,生野区,,,,,,,,,,,,○,,,135.5496235,34.64217082
1264,社福）藤光会　金の鈴特別養護老人ホーム,544-0015,生野区巽南３―５―２５,,6758-8111,生野区,,,,,,,,,,,,○,,,135.5500299,34.64091147
1265,医療法人同友会　共和病院,544-0021,生野区勝山南４―１６―１０,,6718-2221,生野区,,,○,○,○,○,○,○,,○,,○,○,,135.5404691,34.6524748
1266,藤上産婦人科クリニック,544-0021,生野区勝山南４―２―２３,,6717-6033,生野区,,,,,,,,,,,○,○,○,,135.5367021,34.65329445
1267,医療法人アエバ会アエバ外科病院,544-0021,生野区勝山南４―６―５,,6715-0771,生野区,,,,,,,,,,,,○,○,,135.5396828,34.65340561
1268,医療法人芥川会芥川病院,544-0021,生野区勝山南４―４―１８,,6712-1023,生野区,,,,,,,,,,,,○,○,,135.5380152,34.65310053
1269,医療法人清原皮膚科,544-0021,生野区勝山南３―１５―１３,,6716-5111,生野区,,,,,,,,,,,,○,○,,135.5319167,34.65187727
1270,医療法人アエバ会アエバ会診療所,544-0021,生野区勝山南４―１６―４３,,6715-0251,生野区,,,,,,,,,,,,○,,,135.5402863,34.6533066
1271,大楠病院,544-0022,生野区舎利寺２―１０―１４,,6712-0271,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5385998,34.64971784
1272,医療法人望月医院,544-0022,生野区舎利寺１―５―２２,,6715-0215,生野区,,,,,,,,,,,,○,○,,135.5375514,34.65054861
1273,大柳こどもクリニック,544-0022,生野区舎利寺２－１４－５,,6712-2060,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5398326,34.64867378
1274,医療法人　佐久間医院,544-0023,生野区林寺２―１５―４,,6716-2023,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5320449,34.64492708
1275,藤井医院,544-0023,生野区林寺４―２―３２,,6777-0222,生野区,,,,,○,,,,,,,○,○,,135.5343919,34.64347463
1276,生活協同組合ヘルスコープおおさか田島診療所,544-0023,生野区林寺５―１２―１８,,6711-3711,生野区,,,,,,,,,,,,○,○,,135.5391728,34.64529216
1277,南波クリニック,544-0023,生野区林寺１―４―６,,6712-7257,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5287489,34.64606495
1278,医療法人久正会　畠中クリニック,544-0023,生野区林寺３―１４―３２,,6715-3355,生野区,,,,,,,,○,,,○,○,○,,135.5343797,34.64395774
1279,河合診療所,544-0023,生野区林寺２―２４―２２,,6713-0057,生野区,,,,,○,○,○,○,○,○,○,○,○,,135.5320304,34.64376055
1280,たかお眼科,544-0023,生野区林寺５－７－１１,,6711-0861,生野区,,,,,,,,,,,,○,,,135.5388517,34.64373301
1281,医療法人気象会　介護老人保健施設　東雄苑寺田町,544-0023,生野区林寺１－４－２４,,6712-5030,生野区,,,,,,,,,,,,○,○,,135.5281038,34.64531547
1282,医療法人社団甲有会　介護老人保健施設アネシス寺田町,544-0023,生野区林寺１－４－２４,,6712-5030,生野区,,,,,,,,,,,,○,○,,135.5281038,34.64531547
1283,医療法人相生会相生病院,544-0024,生野区生野西３―２―５,,6731-0201,生野区,,,,,,,,,,,○,○,○,,135.5303203,34.6517207
1284,塚本医院,544-0024,生野区生野西４―７―１４,,6718-8080,生野区,,,,,,,,,,,,○,○,,135.5294204,34.64730825
1285,医療法人仁善会　田中クリニック,544-0024,生野区生野西２―３―８,,6711-3770,生野区,,,,,,,○,○,○,○,,○,○,,135.5263015,34.64853773
1286,奥野内科クリニック,544-0024,生野区生野西２－６－２３,,6777-1281,生野区,,,,,,,,,,,,○,○,,135.5257494,34.64771014
1287,木本内科医院,544-0024,生野区生野西３－６－２５,,7509-1865,生野区,,,,,,,,,,,,○,○,,135.5277228,34.6507459
1288,訪問診療クリニック麒麟,544-0024,生野区生野西４－１４－１２,,6796-8941,生野区,,,,,,,,,,,,○,○,,135.5265972,34.64721239
1289,医療法人春芳会　しあわせクリニック,544-0024,生野区生野西２－５－１４,寺田町田中ビル１階,6711-2525,生野区,,,,,,,,,○,○,○,○,○,,135.5252978,34.64762964
1290,社会福祉法人かおる会　生野東養護老人ホームおがわ苑,544-0025,生野区生野東３―１―２,,6741-1520,生野区,,,,,,,,,,,,○,,,135.5333895,34.65194828
1291,医療法人朝日会朝日生野病院,544-0025,生野区生野東３―３―２３,,6718-1161,生野区,,,,,,,,,,,,○,,,135.5343785,34.65048808
1292,濱口医院,544-0025,生野区生野東２ー６ー５,,6731-1943,生野区,,,,,,,○,○,,○,,○,○,,135.5319707,34.64827635
1293,高橋診療所,544-0031,生野区鶴橋３―７―１４,,6717-7700,生野区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.5346724,34.66235214
1294,医療法人　康仁会　鶴橋中央診療所,544-0031,生野区鶴橋２―１６―７,,6731-2579,生野区,,,,,,,○,○,○,○,,○,○,,135.5338466,34.66335953
1295,医療法人　宮松会　宮川内科医院,544-0031,生野区鶴橋５―２１―７,,6731-2255,生野区,,,,,,,○,,○,○,○,○,○,,135.5385417,34.66244799
1296,孫クリニック,544-0031,生野区鶴橋１―３―８,,6717-5050,生野区,,,,,,,,,,,,○,○,,135.5315333,34.66473519
1297,こどもクリニック　久保医院,544-0032,生野区中川西２―１―１７,,6731-7722,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5398832,34.66074821
1298,医療法人　第一医院,544-0033,生野区勝山北５―１８―９,,6716-0562,生野区,,,,○,○,○,○,○,○,○,,○,○,,135.53848,34.65484095
1299,藤堂クリニック,544-0033,生野区勝山北２―６―２１,,6717-5171,生野区,,,,,,,○,,,,○,○,○,,135.5320999,34.65599762
1300,綿谷整形外科クリニック,544-0033,生野区勝山北２―４―５,,6711-7788,生野区,,,,,,,,,,,,○,○,,135.5327884,34.65782329
1301,医療法人　いわもと整形外科,544-0033,生野区勝山北５―１―１２,,6716-2737,生野区,,,,,,,,,,,,○,○,,135.5382688,34.65709224
1302,医療法人　桓心会　夫整形外科,544-0033,生野区勝山北２―１１―２７,,6711-2852,生野区,,,,,,,,,,,,○,○,,135.5307339,34.65593053
1303,医療法人聖徳会　勝山北クリニック,544-0033,生野区勝山北５－１２－３８,,6711-5353,生野区,,,,,,,,,,,,○,○,,135.5375434,34.65543719
1304,こう内科クリニック,544-0033,生野区勝山北２－１７－１７,,6715-7101,生野区,,,○,○,,○,○,○,○,○,○,○,○,,135.531944,34.65442064
1305,医療法人くぼたこどもクリニック,544-0033,生野区勝山北２－６－１８,,7894-1100,生野区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5323058,34.65593586
1306,医療法人祐星会　桃クリニック,544-0033,生野区勝山北１－１８－１４,,6711-5537,生野区,,,,,,,,,,,,○,○,,135.527475,34.65486979
1307,医療法人菜の花会　菜の花診療所,544-0033,生野区勝山北２－１１－２２,,6716-7087,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.530811,34.65545246
1308,医療法人アエバ会介護老人保健施設すこやか生野,544-0033,生野区勝山北４―１―８,,6717-8002,生野区,,,,,,,,,,,,○,○,,135.5350401,34.65767554
1309,社福）愛生会　あじさいの里,544-0033,生野区勝山北３―１３―２０,,6716-1199,生野区,,,,,,,,,,,,○,,,135.5340693,34.65462584
1310,寺中医院,544-0034,生野区桃谷１―１３―９,,6715-0022,生野区,,,,,,,,,,,,○,○,,135.5283748,34.65787743
1311,東海医院,544-0034,生野区桃谷３―７―２４,,6712-0228,生野区,,,,,,,,,,,,○,○,,135.5343886,34.66085652
1312,正木クリニック,544-0034,生野区桃谷２―１８―９,,6741-5546,生野区,,,,○,○,○,○,○,○,○,○,○,○,,135.533904,34.66019656
1313,医療法人　杉本医院,544-0034,生野区桃谷２―２１―１８,,6716-4910,生野区,,,○,○,,○,○,○,○,○,○,○,○,,135.5333623,34.65807016
1314,医療法人松本医院,544-0034,生野区桃谷２―１９―２０,,6731-3830,生野区,,,○,○,,○,○,○,○,○,○,○,○,,135.5334756,34.65929567
1315,医療法人御幸会　御幸森キムクリニック,544-0034,生野区桃谷４ー５ー１３,,6717-6789,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5376044,34.66066028
1316,医療法人春信会　長谷川医院,544-0034,生野区桃谷２－５－２５,,6711-2208,生野区,,,,,,,,,,,○,○,○,,135.5328272,34.66158331
1317,医療法人大谷眼科クリニック,544-0034,生野区桃谷３－６－５,,6718-8600,生野区,,,,,,,,,,,,○,,,135.5344491,34.66118834
1318,ゆきおかクリニック,544-0034,生野区桃谷２－１７－１８,,6718-3939,生野区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5331768,34.65981472
1319,山村クリニック,535-0002,旭区大宮３―２―２７,,6954-2122,旭区,,,,,,,,,,,,○,○,,135.5449947,34.72607722
1320,医療法人藤仁会藤立病院,535-0002,旭区大宮５―４―２４,,6955-1221,旭区,,,,,,,,,,,,○,○,,135.5501906,34.72951997
1321,医療法人弘治会つるさき診療所,535-0002,旭区大宮２―２０―１７,,6956-7300,旭区,,,,,,,,,,,○,○,○,,135.5470921,34.72225336
1322,医療法人柴医院,535-0002,旭区大宮３―８―１６,,6951-6085,旭区,○,○,○,○,○,○,○,○,,○,○,○,○,,135.5475756,34.72562284
1323,医療法人焦クリニック,535-0002,旭区大宮４―９―３９,,6957-2222,旭区,○,○,○,○,○,○,○,○,,○,,○,○,,135.5464109,34.72656367
1324,医療法人桜医会　さくらクリニック,535-0002,旭区大宮１―１３―９,,6954-0707,旭区,○,○,○,○,○,○,○,○,○,,,,,○,135.5470297,34.72104454
1325,天津医院,535-0002,旭区大宮４―６―５,,6954-4145,旭区,,,,,,,○,○,○,○,,○,○,,135.5457034,34.72879029
1326,西沢クリニック,535-0002,旭区大宮１―１―５,グリーンプラザ１Ｆ,6957-1100,旭区,,,,,,,,,,,○,○,○,,135.5433363,34.72092539
1327,医療法人景友会　金沢外科胃腸科肛門科,535-0002,旭区大宮１―２０―１９,,6955-1512,旭区,,,○,○,,○,○,○,,○,○,○,○,,135.5478385,34.72035212
1328,医療法人洋涼会　整形外科なかつかクリニック,535-0002,旭区大宮２－１７－１４,アイリス千林大宮２Ｆ,6956-7707,旭区,,,,,,,,,,,,○,,,135.5474474,34.72434743
1329,しまだ循環器・糖尿病内科クリニック,535-0002,旭区大宮２－１７－１４,,6958-5575,旭区,,,,,,,,,,,,○,○,,135.5474474,34.72434743
1330,医療法人　篠原医院,535-0003,旭区中宮５―３―２７,,6951-4556,旭区,,,○,○,○,○,○,○,○,,○,○,○,,135.5437236,34.72884712
1331,医療法人　中浜医院,535-0003,旭区中宮２―１５―３,,6951-0759,旭区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.5414692,34.72497909
1332,中野診療所,535-0003,旭区中宮４ー５ー１９,,6955-0110,旭区,○,○,○,○,○,○,○,○,○,,○,○,○,,135.5401258,34.72734315
1333,岩田レディースクリニック,535-0003,旭区中宮４－９－１９,,6951-7089,旭区,,,,,,,,,,,○,○,,,135.5415855,34.72795787
1334,医療法人双樹会守上クリニック,535-0004,旭区生江１―９ー１８,,6927-1666,旭区,,,○,○,○,,○,○,○,○,○,○,○,,135.5383757,34.72178256
1335,小西クリニック,535-0004,旭区生江２―６―９,,6928-0225,旭区,,,,,,,,,,,,○,,,135.5365567,34.72541802
1336,医療法人松仁会　明徳病院,535-0004,旭区生江１―３―２６,,6921-5131,旭区,,,,,,,,,,,,○,○,,135.5356004,34.72250745
1337,医療法人登志会村瀬クリニック,535-0004,旭区生江１―６―８,,6927-6610,旭区,,,,,,,,,,,○,○,○,,135.5359465,34.72200082
1338,あかがわ生協診療所,535-0004,旭区生江２―８―８,,6921-3008,旭区,,,,,,,,,,,,○,○,,135.5361458,34.72420928
1339,社会医療法人祐生会　城北みどりヶ丘病院,535-0004,旭区生江３－１１－１１,,6922-6721,旭区,,,,,,,,,,,,○,○,,135.5383693,34.72778487
1340,いくえ城北公園クリニック,535-0004,旭区生江３－２８－２７,,6923-2645,旭区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5370895,34.72826908
1341,医療法人清翠会牧老人保健施設,535-0004,旭区生江２―１５―１４,,6929-0300,旭区,,,,,,,,,,,,○,○,,135.5383924,34.72409696
1342,医療法人輝晃会　北村医院,535-0005,旭区赤川４ー１７ー５,,6921-4061,旭区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5308015,34.7282153
1343,医療法人榊原クリニック,535-0005,旭区赤川２―１４―５,,6921-3037,旭区,,,,,,,,,,,,○,○,,135.5337818,34.72554519
1344,旭長寿の森診療所,535-0005,旭区赤川１―６―１２,,6926-1133,旭区,,,,,,,,,,,,○,○,,135.5328102,34.7225427
1345,ありもと耳鼻咽喉科,535-0005,旭区赤川２―１７―２,岸本ビル１０１,4253-3737,旭区,,,,,,,,,,,,○,,,135.5339366,34.72681437
1346,かわもと医院,535-0005,旭区赤川４―１―３９,,6928-8001,旭区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5329453,34.72669971
1347,ながはま整形外科,535-0005,旭区赤川２－１７－２,,6180-3115,旭区,,,,,,,,,,,,○,○,,135.5339366,34.72681437
1348,社福）旭長寿の森　特別養護老人ホームあいあい,535-0005,旭区中宮１－１－９,,6926-1122,旭区,,,,,,,,,,,,○,○,,135.5386603,34.72188943
1349,政近診療所,535-0011,旭区今市１―１１―１１,,6955-1267,旭区,,,○,○,○,○,○,○,,○,,○,○,,135.5512504,34.72775243
1350,阿河医院,535-0011,旭区今市２―１８―４,,6951-1224,旭区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5530076,34.72898916
1351,医療法人資生会　南川医院,535-0011,旭区今市１－５－２４,新栄プロパティ千林Ⅰ　１階２階,6952-8003,旭区,,,,,○,○,○,○,○,,○,○,○,,135.5522411,34.72556105
1352,髙垣医院,535-0011,旭区今市２－１５－６,ハイフェンス今市１階,6951-5105,旭区,○,,○,○,○,○,○,○,○,○,,○,○,○,135.5531421,34.72862736
1353,医療法人　永寿会　福島病院,535-0012,旭区千林２―４―２２,,6953-2940,旭区,,,,,,,,,,,,○,○,,135.5507481,34.72471955
1354,岡医院,535-0012,旭区千林２―１０―２１,,6951-2518,旭区,,,,,,,,,,,,○,,,135.5523815,34.7252566
1355,篠原医院,535-0012,旭区千林２―１―２１,,6951-0907,旭区,,,,,,,,,,,,○,○,,135.549728,34.72415826
1356,医療法人創健会　めぐみ内科小児科クリニック,535-0012,旭区千林２―１４―２４,,6955-3557,旭区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.5538247,34.72478678
1357,宮崎医院,535-0012,旭区千林２－８－１４,,6951-2524,旭区,,,,,,,,,,,,○,○,,135.5514455,34.72445054
1358,井口診療所,535-0013,旭区森小路２―１８―４,,6953-6789,旭区,,,,,,,,,,,,○,○,,135.5516353,34.72009457
1359,服部医院,535-0013,旭区森小路２―１８―１,,6955-5168,旭区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.551566,34.71978767
1360,向井医院,535-0013,旭区森小路１－３－２８,,6954-2617,旭区,,,○,○,○,○,○,○,,,○,○,○,,135.5506257,34.7191354
1361,あおばおうちクリニック,535-0013,旭区森小路１－１１－１０,,050-3774-3191,旭区,,,,,,,,,,,,○,○,,135.5486449,34.72182048
1362,医療法人たにぐちクリニック,535-0013,旭区森小路２－３－２７,サンハイツ１階,6951-1717,旭区,,,,,,,○,○,○,○,○,○,○,,135.550153,34.72188592
1363,医療法人　西山医院,535-0021,旭区清水３―３―３０,,6951-6507,旭区,,,,,,,,,,,○,○,○,,135.5565154,34.72392496
1364,医療法人　賀陽会　かよう内科・小児科,535-0021,旭区清水４―３―２９,,6954-7776,旭区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5639496,34.720602
1365,医療法人　昭成会　加藤医院,535-0021,旭区清水３―２１―２３,,6952-2447,旭区,,,○,○,○,○,○,○,,○,,○,○,,135.5599897,34.72524601
1366,医療法人圭香会梅嵜クリニック,535-0021,旭区清水５―１３―２２,,6958-3800,旭区,,,,,,,,,,,○,○,○,,135.5613512,34.72426955
1367,医療法人　城青会　城クリニック,535-0021,旭区清水３－８－３１,１Ｆ,6955-0015,旭区,,,○,○,○,○,○,○,○,○,,○,○,,135.5578044,34.72316618
1368,医療法人優心会　千林クリニック,535-0021,旭区清水３－３－３３,,6958-2828,旭区,○,,○,○,○,○,○,○,○,○,,○,○,,135.5560188,34.72405993
1369,疋田医院,535-0021,旭区清水３－２－７,,6953-1700,旭区,,,,,,,,,,,,○,○,,135.5557706,34.72481079
1370,医療法人永絋会　足立内科クリニック,535-0021,旭区清水３－１－１４ー３Ｆ,,6958-5150,旭区,,,,,,,,,,,,○,○,,135.5555176,34.7243277
1371,医療法人博慈会中川クリニック,535-0021,旭区清水２丁目１１番１号,,6951-5718,旭区,,,,,,○,○,○,○,○,,○,○,,135.559914,34.7213911
1372,医療法人清水会　介護老人保健施設おひさま園,535-0021,旭区清水２―１―２１,,6952-0101,旭区,,,,,,,,,,,,○,○,,135.5573245,34.72054148
1373,社会福祉法人清水福祉会特別養護老人ホーム旭さくら苑,535-0021,旭区清水３－１５－２３,,6957-8008,旭区,,,,,,,,,,,,○,○,,135.5590576,34.72279097
1374,中本医院,535-0022,旭区新森３―１６―１０,,6952-0306,旭区,,,,,,,,,,,,○,○,,135.5555445,34.71960899
1375,社会医療法人　真美会　大阪旭こども病院,535-0022,旭区新森４―１３―１７,,6952-4771,旭区,○,○,○,○,○,○,○,○,○,○,○,,,○,135.5597777,34.71665178
1376,医療法人清水会　ミズノ胃腸科内科外科,535-0022,旭区新森３―３―３１,,6952-5058,旭区,,,○,○,○,○,○,○,○,○,○,○,○,,135.55289,34.7197676
1377,医療法人　富井医院,535-0022,旭区新森４―２５―４,,6951-1097,旭区,,,,,,,,,,,,○,,,135.5575139,34.71846406
1378,河合整形外科・内科,535-0022,旭区新森５―８―１４,,6956-0030,旭区,,,,,,,,,,,,○,○,,135.5573493,34.71953851
1379,いせたにクリニック,535-0022,旭区新森４―７―７,,6952-6482,旭区,,,,,,,,,,,,○,○,,135.5577941,34.71616384
1380,医療法人神吉産婦人科,535-0022,旭区新森５－４－１０,,6956-1001,旭区,,,,,,,,,,,○,○,,,135.560049,34.71938123
1381,医療法人奥内科循環器科,535-0022,旭区新森７―１―４,,6956-6937,旭区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5608267,34.71878213
1382,吉安医院,535-0022,旭区新森５―７―１４,,6951-2082,旭区,○,,○,○,○,○,○,○,○,○,○,○,○,,135.557219,34.71927152
1383,医療法人石田産婦人科,535-0022,旭区新森２－１－２６,,6951-9701,旭区,,,,,,,,,,,○,,,,135.5515092,34.71862578
1384,医療法人清翠会　牧病院,535-0022,旭区新森７―１０―２８,,6953-0120,旭区,,,,,,,,,,,,○,○,,135.5627788,34.71983927
1385,安田クリニック,535-0022,旭区新森２―４―８,,6953-6291,旭区,,,,,,○,○,○,○,○,,○,○,,135.5524679,34.71900653
1386,さか耳鼻咽喉科,535-0022,旭区新森２－４－３,１階,6957-1187,旭区,,,,,,,,,,,,○,,,135.5521686,34.71881429
1387,市川内科クリニック,535-0022,旭区新森４－２１－５,,6753-9885,旭区,,,,,,,○,,,○,○,○,○,,135.5562499,34.71774657
1388,うつのみやクリニック,535-0022,旭区新森１－４－３５,,6951-8181,旭区,,,○,○,,,○,○,,,,○,○,,135.5501595,34.71554752
1389,医療法人清水会　森小路清水会クリニック,535-0022,旭区新森３－３－２４,,6958-7070,旭区,,,,,,,,,,,,○,○,,135.5532221,34.71983333
1390,ロータリーキッズクリニック,535-0022,旭区新森４－２－３２,,6954-8341,旭区,○,○,○,○,○,○,○,○,○,○,○,,,,135.557327,34.71536995
1391,医療法人　ふじた泌尿器科,535-0022,旭区新森２－４－１０,,6952-3822,旭区,,,,,,,,,,,,○,,,135.5526975,34.71876214
1392,医療法人昭征会　新森透析クリニック,535-0022,旭区新森２－２４－１,,6167-7250,旭区,,,,,,,,,,,,○,○,,135.5550147,34.71541984
1393,医療法人黒住医院,535-0031,旭区高殿４―２０―１９,,6955-3335,旭区,,,,,,,,,,,,○,○,,135.5446712,34.71597464
1394,医療法人成宏会伊藤外科整形外科,535-0031,旭区高殿６―３―２７,,6953-0071,旭区,,,,,,,,,,,,○,○,,135.5455724,34.71607238
