医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
医療法人　いわもと整形外科,大阪市生野区勝山北5-1-12,06-6716-2737,,,1,金,10:00～12:00,,,1,,,135.5382688,34.65709224,http://iwamoto-seikeigeka.com/,,1,,,
孫クリニック,大阪市生野区鶴橋1-3-8,06-6717-5050,,1,1,,,,1,1,1,,135.5315333,34.66473519,,,1,,,
藤堂クリニック,大阪市生野区勝山北2-6-21,06-6717-5171,,,1,月・火・水・金・土,9:00～12:00,,,1,,,135.5320999,34.65599762,,,1,,,
医療法人御幸会　御幸森キムクリニック,大阪市生野区桃谷4-5-13,06-6717-6789,,,1,①月・火・木・金 ②水・土,①9:00～12:00 13:00～17:00 ②9:00～12:00,,1,1,1,12歳,135.5376044,34.66066028,https://kim-clinic.com/,,1,,,
髙橋診療所,大阪市生野区鶴橋3-7-14,06-6717-7700,,,1,平日,9:00～13:00,,1,,,12歳,135.5346724,34.66235214,http://takahashi-gp.net/,,1,,,
医療法人朝日会　朝日生野病院,大阪市生野区生野東3-3-23,06-6718-1161,,,1,,,当院医療従事者および入院患者のみ,,1,,,135.5343785,34.65048808,https://asahiikuno-hospital.jp/,,1,,,
医療法人同友会　共和病院,大阪市生野区勝山南4-16-10,,1,,,月～金,14:00～17:00,予約方法は当院HP参照,,1,,,135.5404691,34.6524748,https://kyowa-hp.net/,,1,,,
医療法人裕雅会　有馬外科整形外科,大阪市東住吉区杭全3-1-1,06-6719-0012,,1,,月～金,9:00～12:00,電話予約不可,1,1,1,12歳,135.5349731,34.63623584,,1月２９日１１時４枠空きあり,1,,03予約可能,
河田医院,大阪市阿倍野区天王寺町北2-4-20,06-6719-0381,,1,1,,,,,1,,,135.5232887,34.64711484,http://www.abeno-med.or.jp/abeno/infomed/kawata.html,,1,,,
淀井病院,大阪市東住吉区桑津2-8-8,06-6719-0771,,1,1,平日,9:00～17:00,接種日は火・木・土14時～,,1,,12歳,135.5292213,34.64090039,http://www.kuwanomi-yodoi.or.jp/,,1,1,02若干空き有り,03予約可能
奥野病院,大阪市阿倍野区天王寺町北2-31-4,06-6719-2200,,,1,月～土（平日）,14:00～17:00,,1,,1,12歳,135.5231875,34.64438807,http://www.okuno.abeno.osaka.jp/,,1,,,
医療法人　久保田医院,大阪市阿倍野区天王寺町北3-9-18,06-6719-3277,,,1,①月・火・木 ②水 ③金 ④土,①8:30～14:00 18:30～20:00 ②8:30～12:00 ③8:30～14:00 ④8:30～12:00 18:30～20:00,,,1,1,12歳,135.5276336,34.64387629,http://www.kubotaiin.com/,,1,,,
医療法人　田島医院,大阪市東住吉区西今川1-6-16,06-6719-5502,,,1,,,,,1,1,12歳,135.5326791,34.63222813,,,1,,,
医療法人　たけだクリニック,大阪市東住吉区北田辺4-8-7,06-6719-7011,,,1,月～土,10:00～12:00,,1,1,1,12歳,135.5283829,34.63333356,,,1,,,
医療法人相生会　相生病院,大阪市生野区生野西3-2-5,06-6731-0201,,1,1,月～金,9:30～16:00,,1,,1,,135.5303203,34.6517207,http://www.aioi-hospital.jp/,,1,,,
医療法人宮松会　宮川内科医院,大阪市生野区鶴橋5-21-7,06-6731-2255,,,1,,,,,1,,,135.5385417,34.66244799,,,1,,,
医療法人康仁会　鶴橋中央診療所,大阪市生野区鶴橋2-16-7,06-6715-0500,,,1,①月・水・金 ②火・木・土,①9:00～12:30 13:30～18:00 ②9:00～12:30,かかりつけ患者優先,1,1,1,12歳,135.5338466,34.66335953,http://www.tsuru-shin.or.jp/,,1,,,
中川医院,大阪市生野区鶴橋1-6-26,,,1,,,,,,1,1,12歳,135.5302461,34.66218684,http://www.t-nakagawa-iin.jp/,,1,,,
健クリニック,大阪市西区江戸堀1-11-4 損保ジャパン日本興亜肥後橋ビル1階,080-3858-7500,,1,1,,10:00～13:00 15:30～17:00,予約専用電話　080-3858-7500,1,1,1,12歳,135.4963367,34.69016378,http://www.ken-clinic.jp/,,1,,03予約可能,
医療法人　李クリニック,大阪市生野区新今里2-3-26,06-6751-0558,,,1,①月・火・木・金 ②土,①9:00～12:00 15:00～18:00 ②9:00～12:00,かかりつけ患者からの電話予約,,1,1,16歳,135.5472738,34.66456139,,,1,,02若干空き有り,
岸田内科,大阪市生野区小路東1-3-26　岸田振興ビル2階,06-6751-3500,,1,1,月・火・木・金・土,9:00～12:30,かかりつけの親族、近隣の方の受入応相談。初めての方は事前の来院、カルテ作成必要(無料),,1,,12歳,135.5565796,34.66310485,,,1,,,
医療法人貴和会　生野中央病院,大阪市生野区中川5-4-2,,,1,,,,,,1,,,135.5460943,34.65816457,http://ikuno-chuo.com/hosp/index.html,,1,,,
医療法人　康耳鼻咽喉科,大阪市生野区田島5-6-15,,,1,,①月・火・木・金 ②水・土,①9:00～12:30 15:30～19:00 ②9:00～12:30,,,1,1,12歳,135.5406206,34.64322765,,,1,,,
医療法人光臨会　奥野クリニック,大阪市生野区田島4-6-16,06-6751-5269,,,1,①月・火・水・金 ②土,①9:00～12:00 16:00～18:30 ②9:00～12:00,,1,1,1,12歳,135.5413146,34.64558463,https://okuno-clinic.com/,,1,,,
医療法人　葛西医院,大阪市生野区小路東6-4-20,,,1,,,,1、2回目を当院で接種した方は予約可,,1,1,12歳,135.5625608,34.65825039,https://kassai-iin.com/,,1,,,
小倉医院,大阪市生野区小路東3-1-28,06-6751-6178,,,1,月・火・水・金・土,9:00～11:00,,,1,,,135.5589185,34.66140299,,,1,,,
医療法人　たまき耳鼻咽喉科,大阪市生野区新今里2-6-24,,1,1,,,,来院予約は65歳以上の方のみ,1,1,1,12歳,135.547221,34.66395535,https://tamaki-ent.com/,,1,,01予約不可能,
医療法人　中村クリニック,大阪市生野区巽中2-22-13,06-6752-3100,,,1,,診療時間内,,,1,,,135.5538763,34.6487447,,,1,,,
医療法人　小路東宮本診療所,大阪市生野区小路東2-5-3,,,1,,,,,,1,,,135.5570736,34.65928254,,,1,,,
医療法人愛隣会　パククリニック,大阪市生野区中川3-5-2　ジョイフルマンション1階,,,1,,,,受入体制は、まずかかりつけ患者から,1,1,1,12歳,135.5453224,34.6597554,,,1,,,
谷本医院,大阪市生野区巽北3-16-3,06-6752-5505,,1,1,,,,,1,,16歳,135.554156,34.65491674,,,1,,,
医療法人優心会　優心会厚生病院,大阪市生野区小路東4丁目13番22号,06-6752-6121,,1,1,,,,,1,,16歳,135.5576689,34.65780044,,,1,,,
医療法人せいわ会　大阪たつみ病院,大阪市生野区巽南3-19-3,06-6752-7531,,,1,水,13:00～16:00,,,1,,,135.5527624,34.64105308,https://osaka-tatsumi-hp.jp/,,1,,,
医療法人同仁会　松崎病院,大阪市生野区新今里7-4-8,06-6753-0255,,,1,月～金,10:00～16:00,,,1,,16歳,135.5525856,34.6617556,http://www.medicals.jp/mh/index.html,当院のワクチン接種は水曜日の午後です,1,,03予約可能,
阪上医院,大阪市生野区小路東3-13-29,06-6753-6923,,,1,月・火・水・金・土,9:30～12:00,かかりつけの親族および近隣の方等の受入可,,1,,12歳,135.5599479,34.66111161,,,1,,,
医療法人　福田診療所,大阪市西淀川区歌島1-11-3,06-6471-3200,1,,,,,,1,1,1,12歳,135.4647627,34.71486944,https://nishiyodo-med.or.jp/medical_institution/fukuda/,,1,,,
寺口小児科クリニック,大阪市東成区大今里西1-26-5　ロハスプラザ今里2階,06-6753-8241,,,1,月・火・金,9:00～12:00 16:00～19:00,当院で1、2回目を接種した方,,1,1,12歳,135.5431276,34.671427,https://teraguchi-kids-clinic.com/,,1,,,
市川内科クリニック,大阪市旭区新森4-21-5,,,1,,,,,,1,,,135.5562499,34.71774657,http://ichikawa-naika.jp/,,1,,,
医療法人　長田診療所,大阪市生野区田島四丁目6番18号,06-6754-1473,,,1,,,,,1,,,135.541509,34.64568101,https://nagata-cl.org/nagata/,,1,,,
医療法人憲樹　橋本クリニックみみはなのど,大阪市生野区巽中二丁目25番28号,,1,1,,①月・火・木・金 ②土,①9:00～12:30 15:30～19:00 ②9:00～12:30,来院予約も問い合わせ時間と同様,,1,1,12歳,135.5535477,34.6507043,http://www.mimihananodo.jp/,,1,,,
文クリニック,大阪市生野区巽中4-19-10,06-6755-3880,,,1,月～土,9:00～12:00 16:00～19:00,,,1,,12歳,135.5536279,34.64282145,http://www.bun-clinic.jp/pc/,,1,,,
安田クリニック,大阪市生野区巽北1-22-6　クリスタルハイツ紫光1階,06-6756-8663,,,1,月～土,9:00～12:00,,,1,1,16歳,135.5470384,34.65474218,,,1,,,
医療法人　にんクリニック,大阪市生野区巽中1-21-32,06-6756-8806,,,1,,,,,1,,,135.5524088,34.65103467,,,1,,,
医療法人　有沢医院,大阪市生野区巽中2-4-19,06-6758-1154,,1,1,,,,,1,1,16歳,135.5502092,34.64818751,,,1,,,
医療法人のぞみ会　新大阪病院,大阪市生野区田島1-16-6,06-6758-7007,,,1,月～金,13:30～16:30,,,1,,,135.5437234,34.65324176,http://www.shin-osakahospital.or.jp/,,1,,,
医療法人　大江内科,大阪市生野区巽中1-21-18,06-6758-2085,,1,,,,,,1,,,135.5534167,34.65087919,http://oe-naika.com/,,1,,,
井上医院,大阪市生野区巽中3-20-18,06-6758-2851,,,1,平日,10:00～11:30,,,1,,12歳,135.5533681,34.64530483,,,1,,02若干空き有り,
医療法人豊旺会　啓生病院,大阪市生野区田島六丁目4番1号,,,1,,,,,,1,,,135.5400336,34.64246126,http://keisei.hououkai.or.jp/,,1,,,
ひらたクリニック,大阪市生野区田島2-2-25,06-6758-5151,,,1,,9:00～12:30,,1,,1,12歳,135.5403254,34.64933149,,,1,,,
医療法人明香会　やすなりみどり診療所,大阪市生野区巽南3-7-8,06-6758-5511,,,1,月・火・木,13:30～15:30,,,1,,12歳,135.5504969,34.64253493,https://www.midori-hp.com/#,,1,,,
医療法人鴻尚会　西牧医院,大阪市生野区新今里5丁目1番4号　1階,06-6758-5871,,1,1,①月・火・木・金 ②水・土,①9:00～12:00　15:00～18:00　②9:00～12:00,,1,1,,12歳,135.54851,34.66165521,http://www.koushoukai.com/,,1,,,
医療法人育和会　育和会記念病院,大阪市生野区巽北3-20-29,,,1,,,,,,1,1,16歳,135.5548097,34.6559246,https://hospital.ikuwakai.or.jp/,,1,,,
医療法人幸人会　田島クリニック,大阪市生野区田島5丁目5番31号,080-7944-2944,,,1,,,問い合わせ時間は医院HP参照,1,1,1,12歳,135.5395878,34.64398695,http://tashima-clinic.com/,,1,1,,
医療法人飛龍会　福嶋クリニック,大阪市平野区瓜破1-3-12　サンフレグランス1階,06-6760-0077,,,1,,,,,1,1,12歳,135.5513966,34.60668651,,,1,,,
医療法人実恒会　ながはまクリニック,大阪市平野区長吉出戸2-4-27,06-6760-1002,,,1,①月・火・木・金 ②水・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,1,1,1,12歳,135.5663981,34.61173503,,,1,,,
うらたクリニック,大阪市平野区長吉長原西3-3-18,06-6760-5200,,,1,,診療時間内 AM10:00～,,1,1,,12歳,135.566469,34.60220126,https://www.urata-cl.jp/,,1,,,
上西クリニック,大阪市平野区平野西3-9-21　コーポ常磐1階,06-6760-5630,,,1,,9:00～12:00 15:00～17:00,,1,1,,,135.5463378,34.61863648,,,1,,,
落合クリニック,大阪市東住吉区湯里4-9-11,06-6760-5711,,,1,,,かかりつけ患者のみ,,1,,,135.5355565,34.6094452,,,1,,,
いのうえ診療所,大阪市平野区喜連西4-7-33,06-6760-7188,,,1,①月・火・木・金 ②水・土,①9:00～12:00 16:30～19:30 ②9:00～12:00,小児についてはかかりつけのみ,,1,,12歳,135.546053,34.60943667,http://www.inoue-shinryo.com/index.html,,1,,,
にしむら耳鼻咽喉科クリニック,大阪市中央区谷町六丁目1番14号谷町大治ビル6階,06-6761-0265,,1,1,,,,,1,,12歳,135.5173404,34.67584701,http://www.nishimura-t6.com/,,1,,,
医療法人　田中小児科医院　たなかキッズクリニック,大阪市中央区谷町6-14-23,06-6761-4671,,1,1,①月・火・水・金 ②木・土,①9:30～12:00 17:00～19:30 ②9:30～12:00,かかりつけ親族、12～17歳の一般患者は受入可,,1,1,12歳,135.5137945,34.67393905,https://tanaka-kids-clinic.jp/,,1,,,
医療法人保健厚生会　佐伯クリニック,大阪市中央区上本町西5-3-9,06-6761-4787,,,1,,,,1,1,,12歳,135.5187384,34.66650007,,,1,,,
医療法人　山田医院,大阪市中央区谷町6-17-21,,,1,,,,,1,,,16歳,135.5131938,34.67392693,https://www.osaka-minami-med.or.jp/map/syousai/114.html,,1,,,
笹岡クリニック,大阪市中央区松屋町3-23 松屋タワー2階,06-6762-1360,,,1,①月・火・水・木・土 ②金,①9:30～12:30 15:00～17:30 ②15:00～17:30,ただし第1木曜は午後休診,1,1,1,16歳,135.5120604,34.67507098,https://www.osaka-minami-med.or.jp/map/syousai/051.html,,1,,,
かわぞえ医院,大阪市中央区糸屋町1-1-6,06-6946-8008,,,1,①月・火・木・金 ②水・土,①10:00～17:00 ②10:00～13:00,,1,1,1,12歳,135.5162855,34.68548504,https://www.kawazoe-clinic.jp/,,1,,,
医療法人松翔会　松尾つるはしクリニック,大阪市天王寺区味原町13-9 サンエイ下味原第2ビル1階,06-6764-0858,,1,1,①月・火・水・金 ②土,①9:00～13:00 16:30～19:30 ②9:00～13:00,かかりつけ患者とその親族のみ,,1,1,12歳,135.528528,34.66619842,http://tsuruhashi-clinic.com/,,1,,,
大宮診療所,大阪市中央区神崎町4-5 田中ビル1階,06-6765-5151,,1,1,,診療時間内,予約は来院もしくは、診療時間内での電話受付,1,1,,,135.5126176,34.67769238,https://www.omiya-clinic.jp/,,1,,,
医療法人幸生会　中林クリニック,大阪市中央区谷町6-6-7 第5松屋ビル1階,06-6765-7710,,,1,①月・水・金 ②火・土・木(第2、4のみ),①9:30～12:30 14:30～17:30 ②9:30～12:30,診療時間中,,1,1,,135.516773,34.67505778,https://www.nakabayashi-cl.com/,,1,,,
おおた皮膚科形成外科クリニック,大阪市天王寺区上本町6-2-26 大和上六ビル8階,06-6765-8611,,1,1,月・水・金,14:30～16:00,来院予約も電話受付時間と同様。接種可能日はHP掲載,,1,1,16歳,135.5199662,34.66680827,https://www.ota-clinic.com/,月水金14時半から16時に電話予約,1,,03予約可能,
河野内科クリニック,大阪市中央区上汐二丁目1番16号コノエビル1階,06-6766-0885,,,1,,,,,1,,12歳,135.5175822,34.66842375,https://www.osaka-minami-med.or.jp/map/syousai/040.html,,1,,,
医療法人　天五診療所,大阪市北区池田町6-10-201,06-6355-1000,,1,1,月～金　,10:00～12:00 17:00～19:00,,,1,1,12歳,135.5123903,34.70754588,http://www.tengoclinic.com/,,1,,,
森本医院,大阪市天王寺区玉造元町2-4　玉造トップス2階,06-6768-5771,,,1,月・火・木・金,9:00～17:00,,,1,,,135.5327498,34.67398331,https://www.tennoji-med.or.jp/result02.aspx?I_ID=107,,1,,,
社会医療法人行岡医学研究会　行岡病院,大阪市北区浮田2-2-3,0570-079-921,,,1,,,,,1,,12歳,135.5093044,34.71019631,http://www.yukioka.or.jp/,,1,,01予約不可能,
医療法人松本内科クリニック,大阪市中央区谷町6-3-2,06-6768-6611,,,1,,,,1,,,12歳,135.5177452,34.67389107,http://www.matsumoto-naika-clinic.com/,,1,,01予約不可能,
医療法人瑞穂会　ともの木クリニック,大阪市天王寺区清水谷町7-9,06-6768-8566,,1,1,月～水,10:00～17:00,,,1,,16歳,135.5216081,34.67431521,http://www.mizuho-kai.com/tomonoki/,,1,,,
社福）めぐむ福祉会　くれない診療所,大阪市東住吉区今川7-9-7,,,1,,,,,,1,,16歳,135.5382475,34.62504706,http://www.9071.jp/shinryosho/,,1,,01予約不可能,
医療法人真鈴会　かいこうクリニック,大阪市東住吉区西今川3-1-21,06-6769-7811,,1,1,,,,,1,,,135.5311883,34.62669231,http://www.kaikou-clinic.jp/,,1,,,
医療法人弘仁会　可児医院,大阪市天王寺区四天王寺1-5-45,06-6771-0140,,,1,月～金,11:00～12:00,,,1,,16歳,135.5164739,34.65712496,http://www.kaniiin.or.jp/tennouji/,,1,,,
早石病院,大阪市天王寺区筆ヶ崎町2-75,,1,,,,,HPのお知らせをご確認ください,,1,,,135.5269501,34.66432111,http://www.hayaishi.or.jp/,,1,,,
つぢ医院,大阪市天王寺区茶臼山町2-8,06-6771-3306,1,,1,,10:30～11:00,HPのお知らせを確認してください,1,,1,12歳,135.5131534,34.64958129,https://tsudi-iin.com/,,1,,03予約可能,
医療法人　湯川胃腸病院,大阪市天王寺区堂ケ芝2-10-2,06-6771-4861,,1,1,,,15歳も接種可能,1,1,,16歳,135.5267197,34.66003211,https://www.yukawa.or.jp/,,1,,03予約可能,
医療法人博友会　藤谷クリニック,大阪市天王寺区上本町6-3-31-228,06-6771-5315,,,1,①月～金 ②土,①9:30～12:00 16:00～19:00 ②9:30～12:00,,,1,1,12歳,135.5183658,34.66579085,https://fujitani-clinic.jp/,,1,,,
片岸医院,大阪市天王寺区南河堀町9-41,06-6771-6356,,,1,月・火・水・金,9:00～10:30,接種日は平日午前中（木・土除く）,,1,,16歳,135.5169285,34.64790681,http://www.katagishi-clinic.com/,,1,,02若干空き有り,
たにやまクリニック,大阪市天王寺区国分町19番4号　寺田町クリニックビル2階,06-6771-7070,,,1,,,詳細は当院HP参照,1,1,1,12歳,135.5243649,34.65060861,https://www.taniyama-clinic.jp/,,1,,03予約可能,
医療法人　喜多岡医院,大阪市天王寺区大道3-1-23 EMA201,,1,,,,,かかりつけの親族、徒歩圏内の住民の受入可,,1,1,12歳,135.5205457,34.65048125,https://kitaokaclinic.jp/,,1,,,
上本町わたなべクリニック,大阪市天王寺区上之宮町1-15,06-6772-0075,1,,1,,,,1,1,,,135.5207784,34.66266146,https://www.uehonmachi.jp/,,1,,,
やまさきクリニック,大阪市此花区四貫島1-9-10 セントラルプラザ2階,06-6462-1212,,1,,①月・火・水・金 ②木・土,①9:00～11:30 16:30～18:00 ②9:00～11:30,電話予約不可,1,1,1,12歳,135.4563506,34.68464661,http://www.yamasaki-cl.jp/,,1,,,
医療法人松徳会　桃山クリニック,大阪市天王寺区筆ケ崎町2-22 VITA　MOMOYAMA2階,06-6773-8306,,,1,水～土,13:00～17:00,,1,,,,135.527555,34.66246253,https://www.matsutani.or.jp/momoyama/,,1,,01予約不可能,
医療法人VERY　うえだ・奥村クリニック,大阪市平野区喜連東2-11-21,06-6703-1315,,,1,,,,1,1,1,12歳,135.5587547,34.61232052,https://ue-ok-clinic.com/,,1,,,
田辺整形外科上本町クリニック,大阪市天王寺区筆ヶ崎町5-52-208,06-6774-1151,,1,1,,,,,1,,16歳,135.5237907,34.6646257,http://www.akatsukikai.or.jp/,,1,,,
戸田整形外科,大阪市天王寺区上本町6-1-82,070-1819-0567,,,1,診療日,9:00～16:30,,1,1,,,135.5226286,34.6656247,https://www.todaseikeigeka.jp/,,1,,,
上本町リウマチこまちクリニック,大阪市天王寺区石ヶ辻町13‐14,,1,,,,,,1,1,1,12歳,135.5213328,34.66423833,https://urk-match.jp/,月、土、日、祝は接種なし,1,,02若干空き有り,
かおる小児科,大阪市天王寺区筆ケ崎町5-52 ウェルライフ上本町101,,1,,,,,web予約できない方は電話にて問合せください,,1,,12歳,135.5240907,34.6646257,https://kaoru-shonika.jp/,,1,,,
医療法人　いわがき内科クリニック,大阪市住吉区我孫子東1-1-29　ドムール長居南館1階,06-6616-7081,,,1,,,,1,,1,12歳,135.5130873,34.60633102,http://www.iwagakinaika.jp/,,1,1,,
医療法人　後藤耳鼻咽喉科寺田町院,大阪市天王寺区国分町19-4 3F,,,1,,,,当院にて1、2回目接種した方を優先,,1,1,12歳,135.5246649,34.65060861,https://goto-jibika.com/,,1,,,
医療法人栄和会　大同クリニック　長原院,大阪市平野区長吉長原東2-2-25,06-6776-2228,,1,1,,,,,1,1,12歳,135.574702,34.60191667,https://daido-clinic.com/,,1,,,
かみや内科,大阪市平野区瓜破2-3-35,06-6776-2718,,,1,月・金,11:00～11:30,,,1,,16歳,135.5560596,34.60851154,https://kamiya-naika.com/,,1,,01予約不可能,
医療法人　吉田医院,大阪市阿倍野区阿倍野元町5-22,06-6622-4709,,,1,①月・水・金 ②火 ③木・土,①8:00～12:00　15:30～18:00 ②15:30～18:00 ③8:00～12:00,,1,1,1,12歳,135.5091714,34.63229962,http://www.abeno-med.or.jp/abeno/infomed/yoshidaiin.html,,1,,,
藤井医院,大阪市生野区林寺4-2-32,,,1,,,,,,1,1,16歳,135.5343919,34.64347463,,,1,,,
医療法人　坂部医院,大阪市平野区長吉長原東2-1-4,06-6709-0174,,,1,,,,,1,1,12歳,135.5740102,34.60377816,http://www.sakabeiin.com/,,1,,,
奥野内科クリニック,大阪市生野区生野西2-6-23,06-6777-1281,,,1,,,,,1,,16歳,135.5257494,34.64771014,http://okuno-naika.com/,,1,,,
山口内科クリニック,大阪市平野区瓜破5-2-29,06-6777-6565,,1,1,,,かかりつけのみ,,1,,16歳,135.554943,34.60272124,https://www.yamaguchinaika.com/,,1,,,
かねしろ内科クリニック,大阪市平野区背戸口5-5-16,06-6777-7467,,,1,,,,,1,,16歳,135.5481359,34.62150167,https://kaneshiro-naika-clinic.com/,,1,,,
医療法人　村川医院,大阪市此花区伝法2-4-29,06-6463-1222 ,,,1,①月・火・木・金 ②水・土,①8:30～12:30 16:30～19:00 ②8:30～12:30,,1,1,1,12歳,135.4582532,34.68892554,http://www.murakawa-iin.com/,,1,,,
医療法人　なかたに整形外科クリニック,大阪市天王寺区堂ヶ芝1-11-20-1階,06-6777-8851,,1,1,,診療時間内,,1,1,,12歳,135.5268559,34.65859008,http://nakatani-seikei.com/,,1,,,
医療法人高寿会　山本内科・小児科,大阪市阿倍野区阿倍野筋5-3-2,06-6621-3261,,,1,月～土,9:00～12:00,,,1,1,12歳,135.511888,34.63856845,https://www.yamamoto-naikashounika.com/,,1,,,
医療法人小林会　小林整形外科診療所,大阪市天王寺区大道4-2-21,06-6779-5586,,1,1,月・水・金,9:00～12:00,,,1,,12歳,135.5222223,34.64961547,https://www.tennoji-med.or.jp/result02.aspx?I_ID=44,,1,,,
医療法人　伊東内科クリニック,大阪市城東区野江4-10-22,06-6786-1114,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,予約方法は院内およびHPで周知,,1,,,135.5398403,34.71000134,http://www.itonaika.com/,,1,,,
医療法人上善会　にしじまファミリークリニック,大阪市城東区中央2-13-19　YKマンション1階,06-6786-1115,,,1,月・火・木・金,10:00～19:00,,,1,,12歳,135.5439106,34.70313251,http://www.web-know.com/nfc/,,1,,,
医療法人みつば会　はしもと内科循環器内科クリニック,大阪市城東区今福西2-6-6　グランピア今福1階,06-6786-2508,,,1,①月・火・水・金 ②木・土,①9:00～12:00 17:00～18:00 ②9:00～12:00,かかりつけ患者の家族は受入可,,1,,,135.5507292,34.70047628,http://www.hashimoto-cl.com/,,1,,,
医療法人潤優会　松谷クリニック,大阪市城東区諏訪1-18-5,,1,,,,,,1,,1,12歳,135.5652879,34.68750987,https://www.matsutani-ent.com/,,1,,,
医療法人隆星会　木下内科クリニック,大阪市平野区背戸口5-6-29,,,1,,,,,,1,,,135.5469293,34.62100686,https://kinoshita.clinic/,,1,,,
医療法人　中浜医院,大阪市旭区中宮2-15-3,,,1,,,9:00～11:50 17:00～19:20,,,1,1,12歳,135.5414692,34.72497909,,,1,,,
森本医院,大阪市平野区長吉長原1-9-9　森本ハイツ1階,06-6790-1900,,,1,①月・水・金 ②火・土,①9:00～12:00 17:50～19:00 ②9:00～12:00,,,1,,12歳,135.5716271,34.60772356,,,1,,,
医療法人　東森医院,大阪市平野区平野上町2-9-13,06-6791-0067,,,1,,,,1,,1,12歳,135.5546943,34.6250851,,,1,,,
医療法人成仁会　酒井医院,大阪市平野区加美正覚寺2-6-14,,,,,,,予約方法は医院HPおよび医院前掲示板にてお知らせ,,1,1,12歳,135.5614271,34.63161002,https://seijinkai-sakai-iin.com/,,1,,,
医療法人　向坂医院,大阪市平野区平野元町8番15,06-6791-1166,,1,1,,,,,1,,12歳,135.5512469,34.62890632,https://www.sakisaka-clinic.com/,,1,,,
医療法人富寿会　村田クリニック,大阪市平野区平野東一丁目8番29号,06-6791-1524,,,1,月～土,9:00～12:00,,,1,,12歳,135.5597039,34.62340238,https://murata-clinic-houjukai.jp/,,1,,,
すなみ内科クリニック,大阪市鶴見区放出東3-21-50　JR放出駅NKビル201,06-4258-1114,,1,1,①月・火・木・金 ②水・木・土,①9:00～12:00 16:30～18:30 ②9:00～12:00,,1,,1,12歳,135.5637653,34.6881886,https://www.tsurumi.osaka.med.or.jp/info_2/625.html,,1,,03予約可能,
晃生整形外科,大阪市平野区加美正覚寺1-25-19,06-6791-2116,,,1,,,1、2回目を当院で接種した方を受入,,1,,,135.5560882,34.63152534,,,1,,,
医療法人　栗原医院,大阪市平野区平野上町1-17-22,06-6791-3725,,,1,月～土,11:30～12:00,,,1,,16歳,135.5513508,34.62543388,,,1,,,
寺下医院,大阪市平野区加美鞍作3-10-17,,,1,,①月・火・水・金 ②土,①9:00～11:30 17:00～18:30 ②9:00～11:30,,1,1,1,12歳,135.5660678,34.62183752,https://hirano-med.net/search/detail_177.html,,1,,,
黒瀬胃腸科外科診療所,大阪市平野区加美西2-8-1,06-6791-7321,,,1,①月・火・木・金 ②水・土,①11:00～12:00 18:30～19:30 ②11:00～12:00,,,1,,,135.5618127,34.6241995,,,1,,,
医療法人社団日翔会　生野愛和病院,大阪市生野区巽南5-7-64,,,1,,,,,,1,,16歳,135.5499615,34.63601611,https://ikuno-aiwa.com/,,1,,,
医療法人　平井診療所,大阪市平野区平野市町2-7-10,06-6791-8720,,,1,,,,1,,1,12歳,135.5591895,34.6269773,,,1,,,
長安医院,大阪市平野区平野東三丁目1番22号,06-6792-3547,,,1,,,,,1,,12歳,135.5560595,34.6210917,https://nagayasuclinic.wixsite.com/osaka,,1,,,
すやま医院,大阪市平野区加美正覚寺2-1-9,06-6792-7540,,,1,①月・火・水・金 ②土,①9:30～12:00 16:30～17:30 ②9:30～12:00,かかりつけの親族、当院にて接種した方の受入可,,1,,,135.5600603,34.63316965,,,1,,,
医療法人雄誠会　ミスミ診療所,大阪市平野区加美東2-3-3,06-6793-2826,,,1,水,12:30～13:30,,1,1,,12歳,135.5701463,34.63289811,https://misumi-sinryousyo.jp/,,1,,,
はまクリニック,大阪市平野区平野元町10-23 101号,06-6794-5050,,,1,①月・火・木・金 ②水・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,,16歳,135.5527665,34.63017586,,,1,,,
医療法人　こうだ医院,大阪市平野区加美東4-22-9,,,1,,,,,,1,,12歳,135.5690301,34.62686737,,,1,,,
医療法人悠敬会　いちば内科,大阪市平野区加美南1-2-27 加美グリーンテラス2階,06-6796-2111,,,1,,診療時間内,電話予約は診療時間内にお願いします。,,1,,12歳,135.5693494,34.62529591,http://www.ichibanaika.com/,,1,,,
樹クリニック,大阪市平野区加美北8-18-41,06-6796-2200,,,1,月～土,10:00～12:00 16:00～18:00,,,1,,,135.5639291,34.63456357,,,1,,,
医療法人智絢会　葵クリニック,大阪市平野区平野北2丁目14番6号オオクラ医療複合ビル1階,06-6796-2251,,,1,①月・火・水・金 ②木 ③土,①9:00～12:00　17:00～20:00 ②9:00～12:00 ③9:00～13:00,,1,1,1,12歳,135.5572274,34.63039244,https://www.osakahirano-aoiclinic.jp/,,1,,01予約不可能,
